T_params, C_nondim_curve, K_nondim_curve
-1.250000000000000000e+00,5.109962735423057012e-02,1.000000000000000000e+00
-1.227272727272727293e+00,5.182848601990876908e-02,9.991550150215656734e-01
-1.204545454545454586e+00,5.259917812080611849e-02,9.982206107156287311e-01
-1.181818181818181879e+00,5.341496256062790854e-02,9.971925192367158131e-01
-1.159090909090909172e+00,5.427942208238771549e-02,9.960661165441289100e-01
-1.136363636363636243e+00,5.519650267897029117e-02,9.948363881570054801e-01
-1.113636363636363757e+00,5.617055871596941807e-02,9.934978909188760809e-01
-1.090909090909091050e+00,5.720640473312293278e-02,9.920447102228192593e-01
-1.068181818181818121e+00,5.830937507855143281e-02,9.904704120607205065e-01
-1.045454545454545414e+00,5.948539275937852339e-02,9.887679891564736812e-01
-1.022727272727272707e+00,6.074104917347262350e-02,9.869298003199632463e-01
-1.000000000000000000e+00,6.208369673316563309e-02,9.849475020122669955e-01
-9.772727272727272929e-01,6.352155681976640045e-02,9.828119709375897628e-01
-9.545454545454544748e-01,6.506384603930587263e-02,9.805132162677424601e-01
-9.318181818181818787e-01,6.672092441352334147e-02,9.780402798526665054e-01
-9.090909090909089496e-01,6.850446997258149984e-02,9.753811224656846468e-01
-8.863636363636363535e-01,7.042768526590049982e-02,9.725224937624670218e-01
-8.636363636363636465e-01,7.250554263897558693e-02,9.694497831824413492e-01
-8.409090909090910504e-01,7.475507682243746899e-02,9.661468484704930360e-01
-8.181818181818181213e-01,7.719573555930576980e-02,9.625958178198049664e-01
-7.954545454545455252e-01,7.984980181177947500e-02,9.587768608005508009e-01
-7.727272727272727071e-01,8.274290475006297607e-02,9.546679222013630950e-01
-7.500000000000000000e-01,8.590464152077052773e-02,9.502444116153824227e-01
-7.272727272727272929e-01,8.936933812001281174e-02,9.454788399775592156e-01
-7.045454545454545858e-01,9.317698611288816046e-02,9.403403922084442312e-01
-6.818181818181818787e-01,9.737440323132899589e-02,9.347944225141282537e-01
-6.590909090909090606e-01,1.020166811634017484e-01,9.288018555608376081e-01
-6.363636363636364646e-01,1.071690047278062302e-01,9.223184724542743407e-01
-6.136363636363636465e-01,1.129089554501825493e-01,9.152940548925839748e-01
-5.909090909090909394e-01,1.193294527770710073e-01,9.076713535937142030e-01
-5.681818181818181213e-01,1.265425429392858514e-01,8.993848375204320789e-01
-5.454545454545455252e-01,1.346843266275293549e-01,8.903591676942701483e-01
-5.227272727272727071e-01,1.439214341957258947e-01,8.805073223050972064e-01
-5.000000000000000000e-01,1.544596298645105337e-01,8.697282766672894683e-01
-4.772727272727273484e-01,1.665553842770615411e-01,8.579041098512300012e-01
